
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:6001         127.0.0.1:50689        ESTABLISHED     28224
  TCP    127.0.0.1:6001         127.0.0.1:50690        ESTABLISHED     28224
  TCP    127.0.0.1:6001         127.0.0.1:50691        ESTABLISHED     28224
  TCP    127.0.0.1:6290         127.0.0.1:49708        ESTABLISHED     5136
  TCP    127.0.0.1:49708        127.0.0.1:6290         ESTABLISHED     3516
  TCP    127.0.0.1:50689        127.0.0.1:6001         ESTABLISHED     28224
  TCP    127.0.0.1:50690        127.0.0.1:6001         ESTABLISHED     28224
  TCP    127.0.0.1:50691        127.0.0.1:6001         ESTABLISHED     28224
  TCP    127.0.0.1:56929        127.0.0.1:56930        ESTABLISHED     2536
  TCP    127.0.0.1:56930        127.0.0.1:56929        ESTABLISHED     2536
  TCP    127.0.0.1:56931        127.0.0.1:56932        ESTABLISHED     2536
  TCP    127.0.0.1:56932        127.0.0.1:56931        ESTABLISHED     2536
  TCP    127.0.0.1:56933        127.0.0.1:56934        ESTABLISHED     2536
  TCP    127.0.0.1:56934        127.0.0.1:56933        ESTABLISHED     2536
  TCP    127.0.0.1:56935        127.0.0.1:56936        ESTABLISHED     2536
  TCP    127.0.0.1:56936        127.0.0.1:56935        ESTABLISHED     2536
  TCP    127.0.0.1:56937        127.0.0.1:56938        ESTABLISHED     2536
  TCP    127.0.0.1:56938        127.0.0.1:56937        ESTABLISHED     2536
  TCP    127.0.0.1:56939        127.0.0.1:56940        ESTABLISHED     2536
  TCP    127.0.0.1:56940        127.0.0.1:56939        ESTABLISHED     2536
  TCP    127.0.0.1:56941        127.0.0.1:56942        ESTABLISHED     2536
  TCP    127.0.0.1:56942        127.0.0.1:56941        ESTABLISHED     2536
  TCP    127.0.0.1:56943        127.0.0.1:56944        ESTABLISHED     2536
  TCP    127.0.0.1:56944        127.0.0.1:56943        ESTABLISHED     2536
  TCP    192.168.38.236:3389    192.168.38.250:43978   ESTABLISHED     1084
  TCP    192.168.38.236:3389    192.168.38.250:56712   ESTABLISHED     1084
  TCP    192.168.38.236:49592   20.102.35.120:443      ESTABLISHED     4036
  TCP    192.168.38.236:51536   192.168.38.102:1562    CLOSE_WAIT      21980
  TCP    192.168.38.236:51550   192.168.38.102:1540    ESTABLISHED     10472
  TCP    192.168.38.236:51580   192.168.38.211:1540    ESTABLISHED     18712
  TCP    192.168.38.236:53576   140.82.112.25:443      ESTABLISHED     11960
  TCP    192.168.38.236:53595   140.82.113.25:443      ESTABLISHED     18260
  TCP    192.168.38.236:53616   192.168.38.252:135     TIME_WAIT       0
  TCP    192.168.38.236:53617   192.168.38.252:49153   TIME_WAIT       0
  TCP    192.168.38.236:53622   217.156.52.91:443      TIME_WAIT       0
  TCP    192.168.38.236:53626   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53629   217.156.52.1:443       TIME_WAIT       0
  TCP    192.168.38.236:53630   13.107.42.16:443       TIME_WAIT       0
  TCP    192.168.38.236:53631   217.20.57.18:80        ESTABLISHED     3500
  TCP    192.168.38.236:53632   217.156.52.1:443       TIME_WAIT       0
