"Records of Bank receipt * dated *","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Information register ""D406 payments data"" (2)","","","","","","","","","","","","","","","","","","",""
"Standard attributes.","Dimensions","","","","Resources","","","","","","","","","","","","","",""
"Activity","Date","Transaction ID","Transaction line ID","Debit credit indicator","Payment ref no","Transaction date","Payment method","Description","Account ID","Customer ID","Supplier ID","Amount","Currency code","Currency amount","Tax type","Tax code","Tax amount","Tax currency code","Tax currency amount"
"True","*","*","1","D","*","*","03","","5124","07973780013","RO29617927","1 000,00","EUR","1 000,00","000","000000","","RON",""
"True","*","*","1","C","*","*","03","","4091","07973780013","RO29617927","1 000,00","EUR","1 000,00","000","000000","","RON",""
"","","","","","","","","","","","","","","","","","","",""
"Accounting register ""General journal"" (1)","","","","","","","","","","","","","","","","","","",""
"Activity","Account Dr","Extra dimension Dr 1","Amount FCY Dr","Account Cr","Extra dimension Cr 1","Amount FCY Cr","Amount","Memo","Related document","Recorder ID","","","","","","","","",""
"Period","Currency Dr","Extra dimension Dr 2","Quantity UM Dr","Currency Cr","Extra dimension Cr 2","Quantity UM Cr","","","","","","","","","","","","",""
"","","Extra dimension Dr 3","","","Extra dimension Cr 3","","","","","","","","","","","","","",""
"True","512.4  Conturi curente la bănci în valută","RO49BRDE410SV50694914150, RAIFFEISEN BANK (EUR)","1 000,00","409.11 Furnizori  - debitori pentru cumpărări de bunuri de natura stocurilor (Valuta straina)","EU resident","1 000,00","1 000,00","Incasari rambursari de la furnizori de stocuri  (Val) : EU resident","","*","","","","","","","","",""
"*","EUR","409.11; Incasari rambursari de la furnizori de stocuri  (Val)","","EUR","EU resident contract Nr.  from ","","","","","","","","","","","","","",""
"","","","","","Bank receipt * dated *","","","","","","","","","","","","","",""
