"N","Period","Recorder","Recorder ID","Code","Extra dimension3 Cr","Quantity UM Dr","Extra dimension3 Dr","Qty Dr (title)","Extra dimension2 Dr","Extra dimension1 Dr","Qty Cr (title)","Quantity UM Cr","Extra dimension1 Cr","Amount","Extra dimension2 Cr","Memo"
"1","*","Sales return * dated *","*","371.1 ","Sales return * dated *","","","","Costul Marfurilor Vandute","Birou principal","Quantity","-1,0000","Depozit principal","-69,28","Goods EUR","Retur : Cheltuieli privind mărfurile"
"2","*","Sales return * dated *","*","371.1 ","Sales return * dated *","","","","Costul Marfurilor Vandute","Persoana fizica principal","Quantity","-1,0000","Depozit principal","-69,28","Profil","Retur : Cheltuieli privind mărfurile"
"3","*","Sales return * dated *","*","371.1 ","Sales return * dated *","","","","Costul Marfurilor Vandute","Punct de comert amanunt principal","Quantity","-1,0000","Depozit principal","-69,28","Gips-carton","Retur : Cheltuieli privind mărfurile"
"4","*","Sales return * dated *","*","442.7 ","","-19,00","Sales return * dated *","EUR","Contract EU resident SI EUR Nr.  from ","EU resident","","","310309 / 19%","-94,02","","Formare :  Datorie TVA (storno)"
"5","*","Sales return * dated *","*","442.7 ","","-19,00","Sales return * dated *","EUR","Contract EU resident SI EUR Nr.  from ","EU resident","","","310309 / 19%","-94,02","","Formare :  Datorie TVA (storno)"
"6","*","Sales return * dated *","*","442.7 ","","-19,00","Sales return * dated *","EUR","Contract EU resident SI EUR Nr.  from ","EU resident","","","310309 / 19%","-94,02","","Formare :  Datorie TVA (storno)"
"7","*","Sales return * dated *","*","411.2 ","Sales return * dated *","-357,00","Sales invoice * dated *","EUR","Contract EU resident SI EUR Nr.  from ","EU resident","EUR","-357,00","EU resident","-1.766,58","Contract EU resident SI EUR Nr.  from ","Corectie : Datorie"
"8","*","Sales return * dated *","*","707.1 ","","-100,00","Sales return * dated *","EUR","Contract EU resident SI EUR Nr.  from ","EU resident","","","Birou principal","-494,84","Venit Din Vanzarea Marfurilor","Retur : Clienți  (Valuta straina)"
"9","*","Sales return * dated *","*","707.1 ","","-100,00","Sales return * dated *","EUR","Contract EU resident SI EUR Nr.  from ","EU resident","","","Persoana fizica principal","-494,84","Venit Din Vanzarea Marfurilor","Retur : Clienți  (Valuta straina)"
"10","*","Sales return * dated *","*","707.1 ","","-100,00","Sales return * dated *","EUR","Contract EU resident SI EUR Nr.  from ","EU resident","","","Punct de comert amanunt principal","-494,84","Venit Din Vanzarea Marfurilor","Retur : Clienți  (Valuta straina)"
