
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:6001         127.0.0.1:50689        ESTABLISHED     28224
  TCP    127.0.0.1:6001         127.0.0.1:50690        ESTABLISHED     28224
  TCP    127.0.0.1:6001         127.0.0.1:50691        ESTABLISHED     28224
  TCP    127.0.0.1:6290         127.0.0.1:49708        ESTABLISHED     5136
  TCP    127.0.0.1:49708        127.0.0.1:6290         ESTABLISHED     3516
  TCP    127.0.0.1:50689        127.0.0.1:6001         ESTABLISHED     28224
  TCP    127.0.0.1:50690        127.0.0.1:6001         ESTABLISHED     28224
  TCP    127.0.0.1:50691        127.0.0.1:6001         ESTABLISHED     28224
  TCP    127.0.0.1:56929        127.0.0.1:56930        ESTABLISHED     2536
  TCP    127.0.0.1:56930        127.0.0.1:56929        ESTABLISHED     2536
  TCP    127.0.0.1:56931        127.0.0.1:56932        ESTABLISHED     2536
  TCP    127.0.0.1:56932        127.0.0.1:56931        ESTABLISHED     2536
  TCP    127.0.0.1:56933        127.0.0.1:56934        ESTABLISHED     2536
  TCP    127.0.0.1:56934        127.0.0.1:56933        ESTABLISHED     2536
  TCP    127.0.0.1:56935        127.0.0.1:56936        ESTABLISHED     2536
  TCP    127.0.0.1:56936        127.0.0.1:56935        ESTABLISHED     2536
  TCP    127.0.0.1:56937        127.0.0.1:56938        ESTABLISHED     2536
  TCP    127.0.0.1:56938        127.0.0.1:56937        ESTABLISHED     2536
  TCP    127.0.0.1:56939        127.0.0.1:56940        ESTABLISHED     2536
  TCP    127.0.0.1:56940        127.0.0.1:56939        ESTABLISHED     2536
  TCP    127.0.0.1:56941        127.0.0.1:56942        ESTABLISHED     2536
  TCP    127.0.0.1:56942        127.0.0.1:56941        ESTABLISHED     2536
  TCP    127.0.0.1:56943        127.0.0.1:56944        ESTABLISHED     2536
  TCP    127.0.0.1:56944        127.0.0.1:56943        ESTABLISHED     2536
  TCP    192.168.38.236:3389    192.168.38.250:17434   ESTABLISHED     1084
  TCP    192.168.38.236:3389    192.168.38.250:56712   ESTABLISHED     1084
  TCP    192.168.38.236:49592   20.102.35.120:443      ESTABLISHED     4036
  TCP    192.168.38.236:51536   192.168.38.102:1562    CLOSE_WAIT      21980
  TCP    192.168.38.236:51550   192.168.38.102:1540    ESTABLISHED     10472
  TCP    192.168.38.236:51580   192.168.38.211:1540    ESTABLISHED     18712
  TCP    192.168.38.236:53511   140.82.114.25:443      ESTABLISHED     11960
  TCP    192.168.38.236:53522   140.82.112.25:443      ESTABLISHED     18260
  TCP    192.168.38.236:53551   192.168.38.252:135     TIME_WAIT       0
  TCP    192.168.38.236:53552   192.168.38.252:49152   ESTABLISHED     852
  TCP    192.168.38.236:54360   192.168.38.102:1550    ESTABLISHED     10652
  TCP    192.168.38.236:54958   192.168.38.102:1560    CLOSE_WAIT      14320
  TCP    192.168.38.236:55681   192.168.38.102:1560    ESTABLISHED     21980
  TCP    192.168.38.236:55684   192.168.38.102:1560    ESTABLISHED     14320
  TCP    192.168.38.236:56899   192.168.38.102:1560    CLOSE_WAIT      10652
  TCP    192.168.38.236:59043   192.168.38.102:1550    ESTABLISHED     10652
  TCP    192.168.38.236:59045   192.168.38.102:1550    ESTABLISHED     10652
  TCP    192.168.38.236:65301   64.233.162.188:5228    ESTABLISHED     18260
  TCP    192.168.38.236:65349   20.232.77.7:443        ESTABLISHED     4028
  TCP    192.168.38.236:65475   20.232.77.7:443        ESTABLISHED     4028
  TCP    192.168.38.236:65478   140.82.112.22:443      ESTABLISHED     16360
  TCP    [::1]:48001            [::1]:65528            ESTABLISHED     23556
  TCP    [::1]:65528            [::1]:48001            ESTABLISHED     2028
