"N","Period","Recorder","Recorder ID","Code","Extra dimension3 Cr","Quantity UM Dr","Extra dimension3 Dr","Qty Dr (title)","Extra dimension2 Dr","Extra dimension1 Dr","Qty Cr (title)","Quantity UM Cr","Extra dimension1 Cr","Amount","Extra dimension2 Cr","Memo"
"1","*","Inventory items commissioning * dated *","*","303.1 ","Purchase Invoice * dated *","","","","Cheltuieli privind materialele de natura obiectelor de inventar","Birou principal","Quantity","1,0000","Depozit principal","150,00","Telefon mobil Samsung  A50 sn 8970","Transmitere in folosinta OI   din : Depozit principal."
"2","*","Inventory items commissioning * dated *","*","","","1,0000","","Quantity","Telefon mobil Samsung  A50 sn 8970","Angajat principal","","","","150,00","","Transmitere in folosinta OI   din : Depozit principal."
"3","*","Inventory items commissioning * dated *","*","303.1 ","Purchase Invoice * dated *","","","","Cheltuieli privind materialele de natura obiectelor de inventar","Birou principal","Quantity","1,0000","Depozit principal","150,00","Telefon mobil Samsung  A50 sn 8971","Transmitere in folosinta OI   din : Depozit principal."
"4","*","Inventory items commissioning * dated *","*","","","1,0000","","Quantity","Telefon mobil Samsung  A50 sn 8971","Angajat principal","","","","150,00","","Transmitere in folosinta OI   din : Depozit principal."
"5","*","Inventory items commissioning * dated *","*","303.1 ","Purchase Invoice * dated *","","","","Cheltuieli privind materialele de natura obiectelor de inventar","Birou principal","Quantity","1,0000","Depozit principal","150,00","Telefon mobil Samsung  A50 sn 8972","Transmitere in folosinta OI   din : Depozit principal."
"6","*","Inventory items commissioning * dated *","*","","","1,0000","","Quantity","Telefon mobil Samsung  A50 sn 8972","Angajat principal","","","","150,00","","Transmitere in folosinta OI   din : Depozit principal."
"7","*","Inventory items commissioning * dated *","*","303.1 ","Purchase Invoice * dated *","","","","Cheltuieli privind materialele de natura obiectelor de inventar","Birou principal","Quantity","1,0000","Depozit principal","150,00","Telefon mobil Samsung  A50 sn 8973","Transmitere in folosinta OI   din : Depozit principal."
"8","*","Inventory items commissioning * dated *","*","","","1,0000","","Quantity","Telefon mobil Samsung  A50 sn 8973","Angajat principal","","","","150,00","","Transmitere in folosinta OI   din : Depozit principal."
"9","*","Inventory items commissioning * dated *","*","303.1 ","Purchase Invoice * dated *","","","","Cheltuieli privind materialele de natura obiectelor de inventar","Birou principal","Quantity","1,0000","Depozit principal","150,00","Telefon mobil Samsung  A50 sn 8974","Transmitere in folosinta OI   din : Depozit principal."
"10","*","Inventory items commissioning * dated *","*","","","1,0000","","Quantity","Telefon mobil Samsung  A50 sn 8974","Angajat principal","","","","150,00","","Transmitere in folosinta OI   din : Depozit principal."
