Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
1cv8.exe                     10652                            8    875.000 K
1cv8.exe                     14320                            8    626.104 K
1cv8.exe                     21980                            8  1.549.772 K
1cv8c.exe                     2028                            3  2.839.608 K
1cv8c.exe                    23556                            3  1.785.676 K
AdobeCollabSync.exe            176                            2     11.440 K
AdobeCollabSync.exe           1440                            2     10.548 K
AdobeCollabSync.exe          14648                           13     20.796 K
AdobeCollabSync.exe          25816                           13     22.876 K
ApplicationFrameHost.exe     18016                            3     24.540 K
armsvc.exe                    3460 Services                   0      6.552 K
blnsvr.exe                    3508 Services                   0      8.568 K
chrome.exe                    5028                            2     61.784 K
chrome.exe                    6156                           13     19.788 K
chrome.exe                    6196                           13      7.292 K
chrome.exe                    7448                            3     26.748 K
chrome.exe                    9036                            3     20.808 K
chrome.exe                    9136                            2     20.652 K
chrome.exe                    9152                            3    250.404 K
chrome.exe                    9196                            3     80.728 K
chrome.exe                    9400                            2     26.748 K
chrome.exe                   10520                           13     33.056 K
chrome.exe                   11872                            3    171.752 K
chrome.exe                   11960                            3     41.236 K
chrome.exe                   12456                           13    136.020 K
chrome.exe                   12500                            2     44.368 K
chrome.exe                   12844                            3      7.864 K
chrome.exe                   12852                            2    113.864 K
chrome.exe                   14180                            3    121.920 K
chrome.exe                   17136                            2     65.260 K
chrome.exe                   17216                            2    167.664 K
chrome.exe                   18260                            2     39.392 K
chrome.exe                   18516                            2     45.076 K
chrome.exe                   19236                            2      8.288 K
chrome.exe                   20920                           13    122.756 K
chrome.exe                   22604                            2    115.988 K
chrome.exe                   23944                           13     26.440 K
chrome.exe                   26064                           13     73.620 K
chrome.exe                   26476                           13     44.072 K
chrome.exe                   27336                           13     70.308 K
cmd.exe                        496                            3      4.200 K
cmd.exe                       1552                            3      4.200 K
cmd.exe                      16616                            3      4.180 K
cmd.exe                      18064                           13      4.288 K
cmd.exe                      25072                            3      4.468 K
conhost.exe                   5152 Services                   0     11.292 K
conhost.exe                   7004                            3     19.264 K
conhost.exe                   8028                           13     21.500 K
conhost.exe                   8336                            3     21.968 K
conhost.exe                  19956                            3     15.192 K
conhost.exe                  20904                            3     12.056 K
csrss.exe                      624 Services                   0      6.224 K
csrss.exe                      708 Console                    1      4.972 K
csrss.exe                     1184                            8     35.284 K
csrss.exe                     3368                            3     12.652 K
csrss.exe                     6588                            2     13.200 K
csrss.exe                     8860                            4     11.520 K
csrss.exe                    12228 RDP-Tcp#143                6     19.904 K
csrss.exe                    16048                           10     13.628 K
csrss.exe                    19084                           13     14.068 K
ctfmon.exe                    3548                            2     17.044 K
ctfmon.exe                    5260                            8     16.464 K
ctfmon.exe                    7892                            3     16.880 K
ctfmon.exe                    9200                            4     16.156 K
ctfmon.exe                   13360                           13     16.604 K
ctfmon.exe                   20308                           10     15.536 K
ctfmon.exe                   22252 RDP-Tcp#143                6     15.900 K
dllhost.exe                   9528                            8     12.168 K
dllhost.exe                  23496                            2     17.432 K
dllhost.exe                  28156 RDP-Tcp#143                6     12.272 K
dwm.exe                       1712 Console                    1     46.672 K
dwm.exe                       4452                            3     96.416 K
dwm.exe                       4952                            2    104.972 K
dwm.exe                      11816                            8    172.668 K
dwm.exe                      17940                            4     69.336 K
dwm.exe                      18372 RDP-Tcp#143                6    101.784 K
dwm.exe                      19896                           10     61.092 K
dwm.exe                      22420                           13    102.820 K
explorer.exe                  2600                            3    155.196 K
explorer.exe                  5096                            2    143.972 K
explorer.exe                  5296                            8    128.780 K
explorer.exe                  7368                            4    125.484 K
explorer.exe                  9444 RDP-Tcp#143                6    148.432 K
explorer.exe                 11696                            2     62.572 K
explorer.exe                 13028                           13    139.092 K
explorer.exe                 17684                           10    126.992 K
fontdrvhost.exe                148 Console                    1      5.180 K
fontdrvhost.exe                164 Services                   0      5.228 K
fontdrvhost.exe               6856                            2     11.072 K
fontdrvhost.exe               8804                            3     10.204 K
fontdrvhost.exe              11240                            4      8.128 K
fontdrvhost.exe              14552                            8      9.492 K
fontdrvhost.exe              18688                           10     10.092 K
fontdrvhost.exe              24700 RDP-Tcp#143                6     10.892 K
fontdrvhost.exe              25532                           13     12.028 K
GitExtensions.exe            19748                            2    188.076 K
GitExtensions.exe            26700                           13    224.400 K
java.exe                      2536                           13    105.404 K
LogonUI.exe                    336                            2     28.408 K
LogonUI.exe                   1364 Console                    1     50.544 K
LogonUI.exe                   8844                            8     28.508 K
LogonUI.exe                  12884                            4     28.408 K
LogonUI.exe                  17060                           10     28.472 K
LogonUI.exe                  17760                           13     28.428 K
LogonUI.exe                  22280                            3     28.404 K
lsass.exe                      852 Services                   0     50.772 K
mmc.exe                      10472                            2     16.992 K
mmc.exe                      18712                            2     26.176 K
MobaXterm_Personal_21.2.e    27996 RDP-Tcp#143                6     74.692 K
msdtc.exe                     1968 Services                   0     10.652 K
MsMpEng.exe                  22224 Services                   0    513.736 K
NisSrv.exe                   25176 Services                   0     14.200 K
notepad.exe                  26100                            8     37.060 K
notepad++.exe                14484                            2     90.420 K
notepad++.exe                15256                           13     83.664 K
notepad++.exe                22384                            3     81.680 K
qemu-ga.exe                   3484 Services                   0     10.464 K
rdpclip.exe                    128                            3     13.900 K
rdpclip.exe                   3444                            2     16.056 K
rdpclip.exe                  12012                            8     14.884 K
rdpclip.exe                  19276                           10     11.284 K
rdpclip.exe                  25192                           13     12.080 K
rdpclip.exe                  26236 RDP-Tcp#143                6     11.536 K
rdpclip.exe                  27020                            4     11.968 K
Registry                       200 Services                   0     87.404 K
Runner.Listener.exe           4028                            3     73.128 K
Runner.Listener.exe           4036                            3     71.524 K
Runner.Worker.exe            16360                            3     73.860 K
RuntimeBroker.exe             1696                            2     31.700 K
RuntimeBroker.exe             2340                            2     14.288 K
RuntimeBroker.exe             3212                            2     21.412 K
RuntimeBroker.exe             3992                           13     46.344 K
RuntimeBroker.exe             4224                           13      8.156 K
RuntimeBroker.exe             7196                            4     18.344 K
RuntimeBroker.exe             8224                            3     24.444 K
RuntimeBroker.exe             8300                            3     16.416 K
RuntimeBroker.exe             8400                            3     13.652 K
RuntimeBroker.exe             8600                           10     13.036 K
RuntimeBroker.exe             8892                            8     16.376 K
RuntimeBroker.exe            14384                            8     29.068 K
RuntimeBroker.exe            15168                           10      8.164 K
RuntimeBroker.exe            15420                            4     16.476 K
RuntimeBroker.exe            15508                           10     16.204 K
RuntimeBroker.exe            17856                            8     26.716 K
RuntimeBroker.exe            26088                           13     18.172 K
RuntimeBroker.exe            26812                            4     29.860 K
RuntimeBroker.exe            26964 RDP-Tcp#143                6     17.300 K
RuntimeBroker.exe            27040 RDP-Tcp#143                6     35.700 K
RuntimeBroker.exe            27904 RDP-Tcp#143                6     13.696 K
SearchUI.exe                  3628                            3     66.256 K
SearchUI.exe                  6068                            2     64.128 K
SearchUI.exe                 14620                            8     98.428 K
SearchUI.exe                 18848                            4     64.880 K
SearchUI.exe                 18864                           10     49.224 K
SearchUI.exe                 22008                           13     47.140 K
SearchUI.exe                 26820 RDP-Tcp#143                6     96.056 K
SecurityHealthService.exe    12488 Services                   0     11.984 K
ServerManager.exe            26836 RDP-Tcp#143                6     82.464 K
services.exe                   844 Services                   0     14.996 K
ShellExperienceHost.exe       1236                            2     58.608 K
ShellExperienceHost.exe       6520                            3     47.544 K
ShellExperienceHost.exe       9944                           10     42.552 K
ShellExperienceHost.exe      14416                            8     56.244 K
ShellExperienceHost.exe      21932 RDP-Tcp#143                6     65.580 K
ShellExperienceHost.exe      22460                            4     66.628 K
ShellExperienceHost.exe      23244                           13     46.444 K
sihost.exe                    3428                            2     27.280 K
sihost.exe                    8032                            3     28.140 K
sihost.exe                   14904                            8     27.140 K
sihost.exe                   15088                            4     26.312 K
sihost.exe                   16728                           10     26.392 K
sihost.exe                   24836                           13     27.820 K
sihost.exe                   25520 RDP-Tcp#143                6     26.696 K
smartscreen.exe               3876                            3     27.208 K
smartscreen.exe               7452                            2     27.312 K
smartscreen.exe              13796                           10     26.436 K
smartscreen.exe              14500                            4     24.872 K
smartscreen.exe              18208                            8     26.636 K
smartscreen.exe              26140                           13     25.364 K
smartscreen.exe              27940 RDP-Tcp#143                6     40.288 K
smss.exe                       504 Services                   0      1.196 K
spoolsv.exe                   3252 Services                   0     32.484 K
svchost.exe                    584 Services                   0     28.524 K
svchost.exe                    928 Services                   0     19.136 K
svchost.exe                    972 Services                   0     17.980 K
svchost.exe                    984 Services                   0      4.332 K
svchost.exe                   1008 Services                   0     28.720 K
svchost.exe                   1052                            2     15.392 K
svchost.exe                   1084 Services                   0    186.096 K
svchost.exe                   1152 Services                   0      8.236 K
svchost.exe                   1160 Services                   0      7.588 K
svchost.exe                   1164 Services                   0     14.480 K
svchost.exe                   1252 Services                   0      8.896 K
svchost.exe                   1280 Services                   0     10.608 K
svchost.exe                   1288 Services                   0     12.764 K
svchost.exe                   1304 Services                   0     29.060 K
svchost.exe                   1384 Services                   0     11.700 K
svchost.exe                   1424 Services                   0     10.368 K
svchost.exe                   1512 Services                   0     13.484 K
svchost.exe                   1640 Services                   0     26.772 K
svchost.exe                   1672 Services                   0     12.536 K
svchost.exe                   1736 Services                   0     19.096 K
svchost.exe                   1772 Services                   0     10.192 K
svchost.exe                   1824 Services                   0     12.688 K
svchost.exe                   1832 Services                   0      6.268 K
svchost.exe                   1840 Services                   0      9.028 K
svchost.exe                   1932 Services                   0     18.068 K
svchost.exe                   1964 Services                   0      8.340 K
svchost.exe                   2016 Services                   0     10.756 K
svchost.exe                   2112 Services                   0      8.460 K
svchost.exe                   2252 Services                   0      9.620 K
svchost.exe                   2260 Services                   0      8.200 K
svchost.exe                   2268 Services                   0      7.464 K
svchost.exe                   2300 Services                   0     32.100 K
svchost.exe                   2368 Services                   0     15.340 K
svchost.exe                   2428 Services                   0     12.796 K
svchost.exe                   2544 Services                   0     14.024 K
svchost.exe                   2552 Services                   0      9.112 K
svchost.exe                   2560 Services                   0      9.272 K
svchost.exe                   2576 Services                   0     12.596 K
svchost.exe                   2800 Services                   0      9.024 K
svchost.exe                   2824 Services                   0     16.864 K
svchost.exe                   2872 Services                   0     13.676 K
svchost.exe                   3080 Services                   0     10.312 K
svchost.exe                   3184 Services                   0     17.352 K
svchost.exe                   3208 Services                   0     13.996 K
svchost.exe                   3448 Services                   0      7.768 K
svchost.exe                   3468 Services                   0      7.576 K
svchost.exe                   3476 Services                   0     47.364 K
svchost.exe                   3492 Services                   0      6.828 K
svchost.exe                   3500 Services                   0     18.800 K
svchost.exe                   3528 Services                   0     17.944 K
svchost.exe                   3536 Services                   0      6.048 K
svchost.exe                   3560 Services                   0     12.540 K
svchost.exe                   3568 Services                   0     23.980 K
svchost.exe                   3584 Services                   0      9.500 K
svchost.exe                   3956 Services                   0     12.852 K
svchost.exe                   3964 Services                   0      8.956 K
svchost.exe                   4552                            2     28.876 K
svchost.exe                   5300 Services                   0      8.068 K
svchost.exe                   5520                            3     15.260 K
svchost.exe                   5536 Services                   0     14.936 K
svchost.exe                   6228 Services                   0     30.676 K
svchost.exe                   6788 Services                   0     38.780 K
svchost.exe                   6916 Services                   0     10.700 K
svchost.exe                   7184                           13     15.248 K
svchost.exe                   8372                            3     26.360 K
svchost.exe                   8588 Services                   0      6.252 K
svchost.exe                   8896                            2     17.736 K
svchost.exe                   9180                            2      8.736 K
svchost.exe                   9396                           13     26.176 K
svchost.exe                  10288                            4      8.724 K
svchost.exe                  12448                            4     25.976 K
svchost.exe                  13464                           10     28.380 K
svchost.exe                  13504                            4     15.180 K
svchost.exe                  15724                            3      9.208 K
svchost.exe                  15908                           13      8.804 K
svchost.exe                  16100                            8     26.288 K
svchost.exe                  17004                            8     15.296 K
svchost.exe                  17336                           10     15.268 K
svchost.exe                  23176                            8      8.684 K
svchost.exe                  24616 RDP-Tcp#143                6     31.216 K
svchost.exe                  25632 Services                   0     11.348 K
svchost.exe                  26584 Services                   0      6.232 K
