Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
1cv8.exe                     10652                            8    875.004 K
1cv8.exe                     14320                            8    626.104 K
1cv8.exe                     21980                            8  1.549.756 K
1cv8c.exe                     2028                            3  2.836.120 K
1cv8c.exe                    23556                            3  1.364.724 K
AdobeCollabSync.exe            176                            2     11.444 K
AdobeCollabSync.exe           1440                            2     10.548 K
AdobeCollabSync.exe          14648                           13     20.796 K
AdobeCollabSync.exe          25816                           13     22.876 K
ApplicationFrameHost.exe     18016                            3     24.540 K
armsvc.exe                    3460 Services                   0      6.552 K
blnsvr.exe                    3508 Services                   0      8.568 K
chrome.exe                    5028                            2     61.684 K
chrome.exe                    6156                           13     19.788 K
chrome.exe                    6196                           13      7.292 K
chrome.exe                    7448                            3     26.736 K
chrome.exe                    9036                            3     20.808 K
chrome.exe                    9136                            2     20.652 K
chrome.exe                    9152                            3    214.764 K
chrome.exe                    9196                            3     80.728 K
chrome.exe                    9400                            2     26.740 K
chrome.exe                   10520                           13     33.048 K
chrome.exe                   11872                            3    171.748 K
chrome.exe                   11960                            3     41.224 K
chrome.exe                   12456                           13    136.012 K
chrome.exe                   12500                            2     44.368 K
chrome.exe                   12844                            3      7.864 K
chrome.exe                   12852                            2    113.628 K
chrome.exe                   14180                            3    121.920 K
chrome.exe                   17136                            2     65.292 K
chrome.exe                   17216                            2    167.616 K
chrome.exe                   18260                            2     39.384 K
chrome.exe                   18516                            2     45.076 K
chrome.exe                   19236                            2      8.288 K
chrome.exe                   20920                           13    122.696 K
chrome.exe                   22604                            2    115.900 K
chrome.exe                   23944                           13     26.440 K
chrome.exe                   26064                           13     73.620 K
chrome.exe                   26476                           13     44.068 K
chrome.exe                   27336                           13     70.312 K
cmd.exe                        496                            3      4.200 K
cmd.exe                       1552                            3      4.200 K
cmd.exe                      16616                            3      4.180 K
cmd.exe                      18064                           13      4.288 K
cmd.exe                      20444                            3      4.472 K
conhost.exe                   5152 Services                   0     11.292 K
conhost.exe                   7004                            3     19.264 K
conhost.exe                   8028                           13     21.500 K
conhost.exe                   8336                            3     21.968 K
conhost.exe                  11144                            3     15.228 K
conhost.exe                  20904                            3     12.056 K
csrss.exe                      624 Services                   0      6.224 K
csrss.exe                      708 Console                    1      4.972 K
csrss.exe                     1184                            8     35.284 K
csrss.exe                     3368                            3     12.652 K
csrss.exe                     6588                            2     13.200 K
csrss.exe                     8860                            4     11.520 K
csrss.exe                    12228 RDP-Tcp#143                6     19.904 K
csrss.exe                    16048                           10     13.628 K
csrss.exe                    19084                           13     14.068 K
ctfmon.exe                    3548                            2     17.044 K
ctfmon.exe                    5260                            8     16.464 K
ctfmon.exe                    7892                            3     16.880 K
ctfmon.exe                    9200                            4     16.156 K
ctfmon.exe                   13360                           13     16.604 K
ctfmon.exe                   20308                           10     15.536 K
ctfmon.exe                   22252 RDP-Tcp#143                6     15.900 K
dllhost.exe                   9528                            8     12.164 K
dllhost.exe                  23496                            2     17.432 K
dllhost.exe                  28156 RDP-Tcp#143                6     12.272 K
dwm.exe                       1712 Console                    1     46.692 K
dwm.exe                       4452                            3     96.412 K
dwm.exe                       4952                            2    104.972 K
dwm.exe                      11816                            8    172.680 K
dwm.exe                      17940                            4     69.332 K
dwm.exe                      18372 RDP-Tcp#143                6    101.780 K
dwm.exe                      19896                           10     61.092 K
dwm.exe                      22420                           13    102.820 K
explorer.exe                  2600                            3    155.736 K
explorer.exe                  5096                            2    144.616 K
explorer.exe                  5296                            8    130.528 K
explorer.exe                  7368                            4    126.320 K
explorer.exe                  9444 RDP-Tcp#143                6    149.768 K
explorer.exe                 11696                            2     62.592 K
explorer.exe                 13028                           13    140.420 K
explorer.exe                 17684                           10    128.116 K
fontdrvhost.exe                148 Console                    1      5.180 K
fontdrvhost.exe                164 Services                   0      5.228 K
fontdrvhost.exe               6856                            2     11.072 K
fontdrvhost.exe               8804                            3     10.360 K
fontdrvhost.exe              11240                            4      8.128 K
fontdrvhost.exe              14552                            8      9.492 K
fontdrvhost.exe              18688                           10     10.092 K
fontdrvhost.exe              24700 RDP-Tcp#143                6     10.892 K
fontdrvhost.exe              25532                           13     12.028 K
GitExtensions.exe            19748                            2    188.192 K
GitExtensions.exe            26700                           13    224.392 K
java.exe                      2536                           13    105.404 K
LogonUI.exe                    336                            2     28.408 K
LogonUI.exe                   1364 Console                    1     50.492 K
LogonUI.exe                   8844                            8     28.508 K
