"Records of Change of fixed asset parameters * dated *","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Information register ""Fixed assets parameters"" (4)","","","","","","","","","","","","",""
"Standard attributes.","","Dimensions","Resources","","","","","","","","","","Attributes"
"Activity","Period","Fixed asset","Inventory code","Location","Account","Calculate amortization","Classifier","Amortization method","Amortization account","Duration, monthes","Expense account","Expense","Memo"
"True","01.08.2024 00:00:00","Calculator Lenovo SN456","2.141","Angajat principal","214.1  Mobilier, aparatură birotică, echipamente de protecție a valorilor umane și materiale și alte active","True","2.2.9.              ","Straight-line","281.4  Amortizarea altor imobilizări corporale","24","681.1  Cheltuieli de exploatare privind amortizarea imobilizărilor","Alte cheltuieli de exploatare",""
"True","01.08.2024 00:00:00","Calculator Lenovo SN457","2.142","Angajat principal","214.1  Mobilier, aparatură birotică, echipamente de protecție a valorilor umane și materiale și alte active","True","2.2.9.              ","Straight-line","281.4  Amortizarea altor imobilizări corporale","24","681.1  Cheltuieli de exploatare privind amortizarea imobilizărilor","Alte cheltuieli de exploatare",""
"True","01.08.2024 00:00:00","Calculator Lenovo SN458","2.143","Angajat principal","214.1  Mobilier, aparatură birotică, echipamente de protecție a valorilor umane și materiale și alte active","True","2.2.9.              ","Straight-line","281.4  Amortizarea altor imobilizări corporale","24","681.1  Cheltuieli de exploatare privind amortizarea imobilizărilor","Alte cheltuieli de exploatare",""
"True","01.08.2024 00:00:00","Imprimanta HP3200","2.144","Angajat principal","214.1  Mobilier, aparatură birotică, echipamente de protecție a valorilor umane și materiale și alte active","True","2.2.9.              ","Straight-line","281.4  Amortizarea altor imobilizări corporale","24","681.1  Cheltuieli de exploatare privind amortizarea imobilizărilor","Alte cheltuieli de exploatare",""
"","","","","","","","","","","","","",""
"Accounting register ""General journal"" (4)","","","","","","","","","","","","",""
"Activity","Account Dr","Extra dimension Dr 1","Amount FCY Dr","Account Cr","Extra dimension Cr 1","Amount FCY Cr","Amount","Memo","Related document","Recorder ID","","",""
"Period","Currency Dr","Extra dimension Dr 2","Quantity UM Dr","Currency Cr","Extra dimension Cr 2","Quantity UM Cr","","","","","","",""
"","","Extra dimension Dr 3","","","Extra dimension Cr 3","","","","","","","",""
"True","214.1  Mobilier, aparatură birotică, echipamente de protecție a valorilor umane și materiale și alte active","Angajat principal","","214.1  Mobilier, aparatură birotică, echipamente de protecție a valorilor umane și materiale și alte active","Depozit principal","","3 050,42","Transfer intre gustiuni","","*","","",""
"*","","Calculator Lenovo SN456","","","Calculator Lenovo SN456","","","","","","","",""
"","","","","","","","","","","","","",""
"True","214.1  Mobilier, aparatură birotică, echipamente de protecție a valorilor umane și materiale și alte active","Angajat principal","","214.1  Mobilier, aparatură birotică, echipamente de protecție a valorilor umane și materiale și alte active","Depozit principal","","3 050,42","Transfer intre gustiuni","","*","","",""
"*","","Calculator Lenovo SN457","","","Calculator Lenovo SN457","","","","","","","",""
"","","","","","","","","","","","","",""
"True","214.1  Mobilier, aparatură birotică, echipamente de protecție a valorilor umane și materiale și alte active","Angajat principal","","214.1  Mobilier, aparatură birotică, echipamente de protecție a valorilor umane și materiale și alte active","Depozit principal","","3 050,42","Transfer intre gustiuni","","*","","",""
"*","","Calculator Lenovo SN458","","","Calculator Lenovo SN458","","","","","","","",""
"","","","","","","","","","","","","",""
"True","214.1  Mobilier, aparatură birotică, echipamente de protecție a valorilor umane și materiale și alte active","Angajat principal","","214.1  Mobilier, aparatură birotică, echipamente de protecție a valorilor umane și materiale și alte active","Depozit principal","","2 948,74","Transfer intre gustiuni","","*","","",""
"*","","Imprimanta HP3200","","","Imprimanta HP3200","","","","","","","",""
