"N","Period","Recorder","Recorder ID","Code","Extra dimension3 Cr","Quantity UM Dr","Extra dimension3 Dr","Qty Dr (title)","Extra dimension2 Dr","Extra dimension1 Dr","Qty Cr (title)","Quantity UM Cr","Extra dimension1 Cr","Amount","Extra dimension2 Cr","Memo"
"1","*","Sales return * dated *","*","371.1 ","Sales return * dated *","","","","Costul Marfurilor Vandute","Birou principal","Quantity","-1,0000","Depozit principal","-*","Cornier 50x3","Retur : Cheltuieli privind mărfurile"
"2","*","Sales return * dated *","*","371.1 ","Sales return * dated *","","","","Costul Marfurilor Vandute","Birou principal","Quantity","-1,0000","Depozit principal","-*","Profil","Retur : Cheltuieli privind mărfurile"
"3","*","Sales return * dated *","*","371.1 ","Sales return * dated *","","","","Costul Marfurilor Vandute","Birou principal","Quantity","-1,0000","Depozit principal","-*","Gips-carton","Retur : Cheltuieli privind mărfurile"
"4","*","Sales return * dated *","*","442.7 ","","","Sales return * dated *","","Contract discounts  Nr.  from ","Customer VAT payer","","","310309 / 19%","-38,00","","Formare :  Datorie TVA (storno)"
"5","*","Sales return * dated *","*","442.7 ","","","Sales return * dated *","","Contract discounts  Nr.  from ","Customer VAT payer","","","310309 / 19%","-38,00","","Formare :  Datorie TVA (storno)"
"6","*","Sales return * dated *","*","442.7 ","","","Sales return * dated *","","Contract discounts  Nr.  from ","Customer VAT payer","","","310309 / 19%","-38,00","","Formare :  Datorie TVA (storno)"
"7","*","Sales return * dated *","*","442.7 ","","","Sales return * dated *","","Contract discounts  Nr.  from ","Customer VAT payer","","","310309 / 19%","1,90","","Formare :  Datorie TVA"
"8","*","Sales return * dated *","*","411.1 ","Sales return * dated *","","Sales invoice * dated *","","Contract discounts  Nr.  from ","Customer VAT payer","","","Customer VAT payer","-702,10","Contract discounts  Nr.  from ","Corectie : Datorie"
"9","*","Sales return * dated *","*","707.1 ","","","Sales return * dated *","","Contract discounts  Nr.  from ","Customer VAT payer","","","Birou principal","-200,00","Venit Din Vanzarea Marfurilor","Retur : Clienți"
"10","*","Sales return * dated *","*","707.1 ","","","Sales return * dated *","","Contract discounts  Nr.  from ","Customer VAT payer","","","Birou principal","-200,00","Venit Din Vanzarea Marfurilor","Retur : Clienți"
"11","*","Sales return * dated *","*","707.1 ","","","Sales return * dated *","","Contract discounts  Nr.  from ","Customer VAT payer","","","Birou principal","-200,00","Venit Din Vanzarea Marfurilor","Retur : Clienți"
"12","*","Sales return * dated *","*","609.1 ","","","Sales return * dated *","","Contract discounts  Nr.  from ","Customer VAT payer","","","Birou principal","10,00","Cheltuieli cu discount acordat","Retur : Clienți"
