"N","Period","Recorder","Recorder ID","Code","Extra dimension3 Cr","Quantity UM Dr","Extra dimension3 Dr","Qty Dr (title)","Extra dimension2 Dr","Extra dimension1 Dr","Qty Cr (title)","Quantity UM Cr","Extra dimension1 Cr","Amount","Extra dimension2 Cr","Memo"
"1","*","Purchase Invoice * dated *","*","401.1 ","Purchase Invoice * dated *","100,0000","Purchase Invoice * dated *","Quantity","Cornier 50x3","Depozit principal","","","Vendor VAT payer","10.000,00","Discount received Comercial RON Nr.  from ","Intrare : ”Mărfuri cantitativ”."
"2","*","Purchase Invoice * dated *","*","401.1 ","Purchase Invoice * dated *","100,0000","Purchase Invoice * dated *","Quantity","Profil","Depozit principal","","","Vendor VAT payer","10.000,00","Discount received Comercial RON Nr.  from ","Intrare : ”Mărfuri cantitativ”."
"3","*","Purchase Invoice * dated *","*","401.1 ","Purchase Invoice * dated *","100,0000","Purchase Invoice * dated *","Quantity","Gips-carton","Depozit principal","","","Vendor VAT payer","10.000,00","Discount received Comercial RON Nr.  from ","Intrare : ”Mărfuri cantitativ”."
"4","*","Purchase Invoice * dated *","*","401.1 ","Purchase Invoice * dated *","","Purchase Invoice * dated *","Quantity","Cornier 50x3","Depozit principal","","","Vendor VAT payer","-20,00","Discount received Comercial RON Nr.  from ","Intrare : ”Mărfuri cantitativ”."
"5","*","Purchase Invoice * dated *","*","401.1 ","Purchase Invoice * dated *","","Purchase Invoice * dated *","Quantity","Profil","Depozit principal","","","Vendor VAT payer","-20,00","Discount received Comercial RON Nr.  from ","Intrare : ”Mărfuri cantitativ”."
"6","*","Purchase Invoice * dated *","*","401.1 ","Purchase Invoice * dated *","","Purchase Invoice * dated *","Quantity","Gips-carton","Depozit principal","","","Vendor VAT payer","-20,00","Discount received Comercial RON Nr.  from ","Intrare : ”Mărfuri cantitativ”."
"7","*","Purchase Invoice * dated *","*","401.1 ","Purchase Invoice * dated *","","","","","301101 / 19%","","","Vendor VAT payer","1.900,00","Discount received Comercial RON Nr.  from ","Formare :  Creanta TVA"
"8","*","Purchase Invoice * dated *","*","401.1 ","Purchase Invoice * dated *","","","","","301101 / 19%","","","Vendor VAT payer","1.900,00","Discount received Comercial RON Nr.  from ","Formare :  Creanta TVA"
"9","*","Purchase Invoice * dated *","*","401.1 ","Purchase Invoice * dated *","","","","","301101 / 19%","","","Vendor VAT payer","1.900,00","Discount received Comercial RON Nr.  from ","Formare :  Creanta TVA"
"10","*","Purchase Invoice * dated *","*","401.1 ","Purchase Invoice * dated *","","","","","301101 / 19%","","","Vendor VAT payer","-11,40","Discount received Comercial RON Nr.  from ","Formare :  Creanta TVA (storno)"
