Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
1cv8.exe                     10652                            8    875.016 K
1cv8.exe                     14320                            8    626.120 K
1cv8.exe                     21980                            8  1.549.740 K
1cv8c.exe                     2028                            3  2.838.968 K
1cv8c.exe                    23556                            3  1.698.860 K
AdobeCollabSync.exe            176                            2     11.448 K
AdobeCollabSync.exe           1440                            2     10.548 K
AdobeCollabSync.exe          14648                           13     20.796 K
AdobeCollabSync.exe          25816                           13     22.712 K
ApplicationFrameHost.exe     18016                            3     24.540 K
armsvc.exe                    3460 Services                   0      6.552 K
blnsvr.exe                    3508 Services                   0      8.568 K
chrome.exe                    5028                            2     61.768 K
chrome.exe                    6156                           13     19.788 K
chrome.exe                    6196                           13      7.292 K
chrome.exe                    7448                            3     26.748 K
chrome.exe                    9036                            3     20.808 K
chrome.exe                    9136                            2     20.652 K
chrome.exe                    9152                            3    249.932 K
chrome.exe                    9196                            3     80.728 K
chrome.exe                    9400                            2     26.748 K
chrome.exe                   10520                           13     33.056 K
chrome.exe                   11872                            3    171.732 K
chrome.exe                   11960                            3     41.232 K
chrome.exe                   12456                           13    135.992 K
chrome.exe                   12500                            2     44.368 K
chrome.exe                   12844                            3      7.864 K
chrome.exe                   12852                            2    113.828 K
chrome.exe                   14180                            3    121.920 K
chrome.exe                   17136                            2     65.260 K
chrome.exe                   17216                            2    167.680 K
chrome.exe                   18260                            2     39.392 K
chrome.exe                   18516                            2     45.076 K
chrome.exe                   19236                            2      8.288 K
chrome.exe                   20920                           13    122.744 K
chrome.exe                   22604                            2    115.924 K
chrome.exe                   23944                           13     26.440 K
chrome.exe                   26064                           13     73.620 K
chrome.exe                   26476                           13     44.068 K
chrome.exe                   27336                           13     70.308 K
cmd.exe                        496                            3      4.200 K
cmd.exe                       1552                            3      4.200 K
cmd.exe                      16616                            3      4.180 K
cmd.exe                      18064                           13      4.288 K
cmd.exe                      28056                            3      4.448 K
conhost.exe                   5152 Services                   0     11.292 K
conhost.exe                   7004                            3     19.264 K
conhost.exe                   8028                           13     21.500 K
conhost.exe                   8336                            3     21.968 K
conhost.exe                  20904                            3     12.056 K
conhost.exe                  27308                            3     15.208 K
csrss.exe                      624 Services                   0      6.228 K
csrss.exe                      708 Console                    1      4.972 K
csrss.exe                     1184                            8     35.284 K
csrss.exe                     3368                            3     12.652 K
