"Assets type","Code","Description","Account","Account for amortization"
"Tangibile","19","Active biologice productive","217.1  Active biologice productive ","281.7  Amortizarea activelor biologice productive"
"Tangibile","18","Active corporale de explorare si evaluare a resurselor minerale","216.1  Active corporale de explorare si evaluare a resurselor minerale","281.6  Amortizarea activelor corporale de explorare si evaluare a resurselor minerale"
"Intangible","05","Active necorporale de explorare si evaluare a resurselor minerale","206.1  Active necorporale de explorare si evaluare a resurselor minerale","280.6  Amortizarea activelor necorporale de explorare si evaluare a resurselor minerale"
"Intangible","08","Alte imobilizări necorporale","208.1  Alte imobilizări necorporale","280.8  Amortizarea altor imobilizări necorporale"
"Tangibile","10","Amenajări de terenuri","211.2  Amenajări de terenuri","281.1  Amortizarea amenajărilor de terenuri"
"Tangibile","13","Aparate și instalații de măsurare, control și reglare","213.2  Aparate și instalații de măsurare, control și reglare","281.3  Amortizarea instalațiilor, mijloacelor de transport, animalelor și plantațiilor"
"Intangible","01","Cheltuieli de constituire","201.1  Cheltuieli de constituire","280.1  Amortizarea cheltuielilor de constituire"
"Intangible","02","Cheltuieli de dezvoltare","203.1  Cheltuieli de dezvoltare","280.3  Amortizarea cheltuielilor de dezvoltare"
"Intangible","03","Concesiuni, brevete, licențe, mărci comerciale și alte drepturi și valori similare achiziționate","205.1  Concesiuni, brevete, licențe, mărci comerciale, drepturi și active similare","280.5  Amortizarea concesiunilor, brevetelor,licențelor, mărcilor comerciale, drepturi și activelor similar"
"Tangibile","11","Construcții","212.1  Construcții","281.2  Amortizarea construcțiilor"
"Tangibile","12","Echipamente tehnologice (mașini, utilaje și instalații de lucru)","213.1  Echipamente tehnologice (mașini, utilaje și instalații de lucru)","281.3  Amortizarea instalațiilor, mijloacelor de transport, animalelor și plantațiilor"
"Intangible","07","Fond comercial negativ","207.5  Fond comercial negativ","280.7  Amortizarea fondului comercial"
"Intangible","06","Fond comercial pozitiv","207.1  Fond comercial pozitiv","280.7  Amortizarea fondului comercial"
"Tangibile","17","Investitii imobiliare","215.1  Investitii imobiliare","281.5  Amortizarea investitiilor imobiliare"
"Tangibile","14","Mijloace de transport","213.3  Mijloace de transport","281.3  Amortizarea instalațiilor, mijloacelor de transport, animalelor și plantațiilor"
"Tangibile","16","Mobilier, aparatură birotică, echipamente de protecție a valorilor umane și materiale și alte active","214.1  Mobilier, aparatură birotică, echipamente de protecție a valorilor umane și materiale și alte active","281.4  Amortizarea altor imobilizări corporale"
"Tangibile","09","Terenuri","211.1  Terenuri","281.1  Amortizarea amenajărilor de terenuri"
