Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
1cv8.exe                     10652                            8    874.996 K
1cv8.exe                     14320                            8    626.124 K
1cv8.exe                     21980                            8  1.549.900 K
1cv8c.exe                     2028                            3  2.855.012 K
1cv8c.exe                    20100                            3    983.344 K
AdobeCollabSync.exe            176                            2     11.440 K
AdobeCollabSync.exe           1440                            2     10.548 K
AdobeCollabSync.exe          14648                           13     20.796 K
AdobeCollabSync.exe          25816                           13     22.876 K
ApplicationFrameHost.exe     18016                            3     24.544 K
armsvc.exe                    3460 Services                   0      6.552 K
blnsvr.exe                    3508 Services                   0      8.568 K
chrome.exe                    5028                            2     61.672 K
chrome.exe                    6156                           13     19.788 K
chrome.exe                    6196                           13      7.292 K
chrome.exe                    7448                            3     26.736 K
chrome.exe                    7948                            2    110.472 K
chrome.exe                    9036                            3     20.808 K
chrome.exe                    9136                            2     20.680 K
chrome.exe                    9152                            3    230.356 K
chrome.exe                    9196                            3     80.800 K
chrome.exe                    9400                            2     26.740 K
chrome.exe                   10520                           13     33.044 K
chrome.exe                   11872                            3    171.768 K
chrome.exe                   11960                            3     41.244 K
chrome.exe                   12456                           13    136.020 K
chrome.exe                   12500                            2     44.368 K
chrome.exe                   12844                            3      7.864 K
chrome.exe                   12852                            2    155.804 K
chrome.exe                   14180                            3    121.920 K
chrome.exe                   17136                            2     69.484 K
chrome.exe                   17216                            2    168.184 K
chrome.exe                   18260                            2     39.468 K
chrome.exe                   18516                            2     45.076 K
chrome.exe                   19236                            2      8.288 K
chrome.exe                   20920                           13    122.688 K
chrome.exe                   22604                            2    115.872 K
chrome.exe                   23944                           13     26.440 K
chrome.exe                   26064                           13     73.620 K
chrome.exe                   26476                           13     44.068 K
chrome.exe                   27336                           13     70.312 K
cmd.exe                        496                            3      4.276 K
cmd.exe                       1552                            3      4.276 K
cmd.exe                      16616                            3      4.524 K
cmd.exe                      18064                           13      4.356 K
cmd.exe                      28632                            3      4.468 K
conhost.exe                   1132                            3     15.188 K
conhost.exe                   5152 Services                   0     11.292 K
conhost.exe                   5336 Services                   0     13.448 K
conhost.exe                   7004                            3     19.264 K
conhost.exe                   8028                           13     21.500 K
conhost.exe                   8336                            3     21.968 K
conhost.exe                  20904                            3     11.716 K
csrss.exe                      624 Services                   0      6.220 K
csrss.exe                      708 Console                    1      4.972 K
csrss.exe                     1184                            8     35.284 K
csrss.exe                     3368                            3     12.652 K
csrss.exe                     6588                            2     13.204 K
csrss.exe                     8860                            4     11.520 K
csrss.exe                    12228 RDP-Tcp#143                6     19.904 K
csrss.exe                    16048                           10     13.600 K
csrss.exe                    19084                           13     14.068 K
ctfmon.exe                    3548                            2     17.044 K
ctfmon.exe                    5260                            8     16.464 K
ctfmon.exe                    7892                            3     16.880 K
ctfmon.exe                    9200                            4     16.156 K
ctfmon.exe                   13360                           13     16.604 K
ctfmon.exe                   20308                           10     15.536 K
ctfmon.exe                   22252 RDP-Tcp#143                6     15.900 K
dllhost.exe                   9528                            8     12.168 K
dllhost.exe                  23496                            2     17.432 K
dllhost.exe                  28156 RDP-Tcp#143                6     12.276 K
dwm.exe                       1712 Console                    1     46.696 K
dwm.exe                       4452                            3     96.224 K
dwm.exe                       4952                            2    104.980 K
dwm.exe                      11816                            8    172.680 K
dwm.exe                      17940                            4     69.336 K
dwm.exe                      18372 RDP-Tcp#143                6    101.792 K
dwm.exe                      19896                           10     61.096 K
dwm.exe                      22420                           13    102.824 K
explorer.exe                  2600                            3    155.232 K
explorer.exe                  5096                            2    143.800 K
explorer.exe                  5296                            8    129.204 K
explorer.exe                  7368                            4    125.356 K
explorer.exe                  9444 RDP-Tcp#143                6    148.992 K
explorer.exe                 11696                            2     62.616 K
explorer.exe                 13028                           13    139.132 K
explorer.exe                 17684                           10    127.720 K
fontdrvhost.exe                148 Console                    1      5.192 K
fontdrvhost.exe                164 Services                   0      5.240 K
fontdrvhost.exe               6856                            2     11.084 K
fontdrvhost.exe               8804                            3      9.972 K
fontdrvhost.exe              11240                            4      8.140 K
fontdrvhost.exe              14552                            8      9.508 K
fontdrvhost.exe              18688                           10     10.104 K
fontdrvhost.exe              24700 RDP-Tcp#143                6     10.904 K
fontdrvhost.exe              25532                           13     12.040 K
GitExtensions.exe            19748                            2    189.020 K
GitExtensions.exe            26700                           13    224.424 K
java.exe                      2536                           13    105.404 K
LogonUI.exe                    336                            2     28.408 K
LogonUI.exe                   1364 Console                    1     50.512 K
LogonUI.exe                   8844                            8     28.508 K
LogonUI.exe                  12884                            4     28.408 K
LogonUI.exe                  17060                           10     28.472 K
LogonUI.exe                  17760                           13     28.428 K
LogonUI.exe                  22280                            3     28.404 K
lsass.exe                      852 Services                   0     52.420 K
mmc.exe                      10472                            2     17.004 K
