Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
1cv8.exe                     10652                            8    874.996 K
1cv8.exe                     14320                            8    626.176 K
1cv8.exe                     21980                            8  1.549.760 K
1cv8c.exe                     2028 RDP-Tcp#94                 3  2.927.048 K
1cv8c.exe                    22424 RDP-Tcp#94                 3  1.351.124 K
AdobeCollabSync.exe            176 RDP-Tcp#8                  2     11.420 K
AdobeCollabSync.exe           1440 RDP-Tcp#8                  2     10.584 K
AdobeCollabSync.exe          14648                           13     20.796 K
AdobeCollabSync.exe          25816                           13     22.876 K
ApplicationFrameHost.exe     18016 RDP-Tcp#94                 3     24.544 K
armsvc.exe                    3460 Services                   0      6.552 K
blnsvr.exe                    3508 Services                   0      8.568 K
chrome.exe                    5028 RDP-Tcp#8                  2     61.820 K
chrome.exe                    6156                           13     19.788 K
chrome.exe                    6196                           13      7.292 K
chrome.exe                    7448 RDP-Tcp#94                 3     26.748 K
chrome.exe                    9036 RDP-Tcp#94                 3     20.812 K
chrome.exe                    9136 RDP-Tcp#8                  2     20.652 K
chrome.exe                    9152 RDP-Tcp#94                 3    182.288 K
chrome.exe                    9196 RDP-Tcp#94                 3     73.396 K
chrome.exe                    9400 RDP-Tcp#8                  2     26.748 K
chrome.exe                   10520                           13     33.056 K
chrome.exe                   11872 RDP-Tcp#94                 3    171.736 K
chrome.exe                   11960 RDP-Tcp#94                 3     41.208 K
chrome.exe                   12456                           13    135.996 K
chrome.exe                   12500 RDP-Tcp#8                  2     44.372 K
chrome.exe                   12844 RDP-Tcp#94                 3      7.908 K
chrome.exe                   12852 RDP-Tcp#8                  2    113.984 K
chrome.exe                   14180 RDP-Tcp#94                 3    122.200 K
chrome.exe                   17136 RDP-Tcp#8                  2     65.204 K
chrome.exe                   17216 RDP-Tcp#8                  2    167.676 K
chrome.exe                   18260 RDP-Tcp#8                  2     39.416 K
chrome.exe                   18516 RDP-Tcp#8                  2     45.076 K
chrome.exe                   19236 RDP-Tcp#8                  2      8.320 K
chrome.exe                   20920                           13    122.776 K
chrome.exe                   22604 RDP-Tcp#8                  2    119.512 K
chrome.exe                   23944                           13     26.440 K
chrome.exe                   26064                           13     73.620 K
chrome.exe                   26476                           13     44.072 K
chrome.exe                   27336                           13     70.308 K
cmd.exe                        496 RDP-Tcp#94                 3      4.200 K
cmd.exe                       1552 RDP-Tcp#94                 3      4.200 K
cmd.exe                      16616 RDP-Tcp#94                 3      4.180 K
cmd.exe                      18064                           13      4.288 K
cmd.exe                      21292 RDP-Tcp#94                 3      4.476 K
conhost.exe                   5152 Services                   0     11.292 K
conhost.exe                   7004 RDP-Tcp#94                 3     19.304 K
conhost.exe                   8028                           13     21.500 K
conhost.exe                   8336 RDP-Tcp#94                 3     22.008 K
conhost.exe                  20904 RDP-Tcp#94                 3     12.056 K
conhost.exe                  27396 RDP-Tcp#94                 3     15.232 K
csrss.exe                      624 Services                   0      6.228 K
csrss.exe                      708 Console                    1      4.972 K
csrss.exe                     1184                            8     35.284 K
csrss.exe                     3368 RDP-Tcp#94                 3      8.064 K
csrss.exe                     6588 RDP-Tcp#8                  2      8.688 K
csrss.exe                     8860                            4     11.520 K
csrss.exe                    12228 RDP-Tcp#143                6     19.904 K
csrss.exe                    16048                           10     13.628 K
csrss.exe                    19084                           13     14.068 K
ctfmon.exe                    3548 RDP-Tcp#8                  2     17.056 K
ctfmon.exe                    5260                            8     16.464 K
ctfmon.exe                    7892 RDP-Tcp#94                 3     16.968 K
ctfmon.exe                    9200                            4     16.156 K
ctfmon.exe                   13360                           13     16.604 K
ctfmon.exe                   20308                           10     15.536 K
ctfmon.exe                   22252 RDP-Tcp#143                6     15.900 K
dllhost.exe                   9528                            8     12.168 K
dllhost.exe                  23496 RDP-Tcp#8                  2     17.492 K
dllhost.exe                  28156 RDP-Tcp#143                6     12.276 K
dwm.exe                       1712 Console                    1     46.680 K
dwm.exe                       4452 RDP-Tcp#94                 3     85.136 K
dwm.exe                       4952 RDP-Tcp#8                  2     90.464 K
dwm.exe                      11816                            8    172.684 K
dwm.exe                      17940                            4     69.468 K
dwm.exe                      18372 RDP-Tcp#143                6    101.788 K
dwm.exe                      19896                           10     61.092 K
dwm.exe                      22420                           13    102.820 K
explorer.exe                  2600 RDP-Tcp#94                 3    153.772 K
explorer.exe                  5096 RDP-Tcp#8                  2    147.148 K
explorer.exe                  5296                            8    128.936 K
explorer.exe                  7368                            4    125.640 K
explorer.exe                  9444 RDP-Tcp#143                6    148.452 K
explorer.exe                 11696 RDP-Tcp#8                  2     64.480 K
explorer.exe                 13028                           13    139.316 K
explorer.exe                 17684                           10    127.248 K
fontdrvhost.exe                148 Console                    1      5.180 K
fontdrvhost.exe                164 Services                   0      5.228 K
