"Code","Description"
"1001","1001-Investiție în curs"
"101","101-Comercializare"
"1101","1101-Donații, ajutoare"
"201","201-Producție"
"301","301-Gratuități"
"401","401-Echipament comercial"
"501","501-Mijloace fixe"
"601","601-Consum propriu"
"703","703-Operațiuni de livrare cu instalare"
"704","704-Transfer între gestiuni"
"705","705-Bunuri puse la dispoziția clientului"
"801","801-Leasing financiar/operațional"
"802","802-Bunuri în garanție"
"901","901-Operațiuni scutite"
"9901","9901-Altele"
"9999","9999-Același cu operațiunea"
