"N","Period","Recorder","Recorder ID","Code","Extra dimension3 Cr","Quantity UM Dr","Extra dimension3 Dr","Qty Dr (title)","Extra dimension2 Dr","Extra dimension1 Dr","Qty Cr (title)","Quantity UM Cr","Extra dimension1 Cr","Amount","Extra dimension2 Cr","Memo"
"1","*","Sales return * dated *","*","371.1 ","Sales return * dated *","","","","Costul Marfurilor Vandute","Angajat","Quantity","-1,0000","Depozit principal","-100,00","Cornier 50x3","Retur : Cheltuieli privind mărfurile"
"2","*","Sales return * dated *","*","371.1 ","Sales return * dated *","","","","Costul Marfurilor Vandute","Angajat","Quantity","-1,0000","Depozit principal","-100,00","Profil","Retur : Cheltuieli privind mărfurile"
"3","*","Sales return * dated *","*","371.1 ","Sales return * dated *","","","","Costul Marfurilor Vandute","Angajat","Quantity","-1,0000","Depozit principal","-100,00","Gips-carton","Retur : Cheltuieli privind mărfurile"
"4","*","Sales return * dated *","*","442.7 ","","-38,00","Sales return * dated *","EUR","Contract discounts EUR Nr.  from ","Customer VAT payer","","","310309 / 19%","-188,04","","Formare :  Datorie TVA (storno)"
"5","*","Sales return * dated *","*","442.7 ","","-38,00","Sales return * dated *","EUR","Contract discounts EUR Nr.  from ","Customer VAT payer","","","310309 / 19%","-188,04","","Formare :  Datorie TVA (storno)"
"6","*","Sales return * dated *","*","442.7 ","","-38,00","Sales return * dated *","EUR","Contract discounts EUR Nr.  from ","Customer VAT payer","","","310309 / 19%","-188,04","","Formare :  Datorie TVA (storno)"
"7","*","Sales return * dated *","*","442.7 ","","1,90","Sales return * dated *","EUR","Contract discounts EUR Nr.  from ","Customer VAT payer","","","310309 / 19%","9,40","","Formare :  Datorie TVA"
"8","*","Sales return * dated *","*","411.2 ","Sales return * dated *","-702,10","Sales invoice * dated *","EUR","Contract discounts EUR Nr.  from ","Customer VAT payer","EUR","-702,10","Customer VAT payer","-3.474,33","Contract discounts EUR Nr.  from ","Corectie : Datorie"
"9","*","Sales return * dated *","*","707.1 ","","-200,00","Sales return * dated *","EUR","Contract discounts EUR Nr.  from ","Customer VAT payer","","","Angajat","-989,70","Venit Din Vanzarea Marfurilor","Retur : Clienți  (Valuta straina)"
"10","*","Sales return * dated *","*","707.1 ","","-200,00","Sales return * dated *","EUR","Contract discounts EUR Nr.  from ","Customer VAT payer","","","Angajat","-989,70","Venit Din Vanzarea Marfurilor","Retur : Clienți  (Valuta straina)"
"11","*","Sales return * dated *","*","707.1 ","","-200,00","Sales return * dated *","EUR","Contract discounts EUR Nr.  from ","Customer VAT payer","","","Angajat","-989,70","Venit Din Vanzarea Marfurilor","Retur : Clienți  (Valuta straina)"
"12","*","Sales return * dated *","*","609.1 ","","10,00","Sales return * dated *","EUR","Contract discounts EUR Nr.  from ","Customer VAT payer","","","Angajat","49,49","Cheltuieli cu discount acordat","Retur : Clienți  (Valuta straina)"
