"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","001 Smoke Tests Catalogs","List form opening ""FilesFolders""","0","0","1","0","0"
"","Documents generate on","list/Document PO  generate document","0","0","1","0","0"
"","Settlements Adjustment >DR/CR","Sales Invoice","0","0","1","0","0"
"","001 Smoke Tests Catalogs","Object form opening ""Contracts""","0","0","1","0","0"
"","Cash change CashFlowActivity avai. not availab. columns","CP Plati viramente interne","0","0","1","0","0"
"","Cash / Bank Documents added Base Document","Bank Payment > select Purchase Invoice","0","0","1","0","0"
"","Sales Invoice generate documents","SalesOrder generate Cash receipt","1","0","0","0","0"
"","Docs create SAve OPen Close","Sales Order","0","0","1","0","0"
"","001 Smoke Tests Catalogs","Object form opening ""ObjectPropertyValueHierarchy""","0","0","1","0","0"
"VAT on release","090 Purchase invoice and Purchase return","Purchase invoice adding lines from Notice of enry","1","0","0","0","0"
"","Documents Bank> Button Add","deletion all ""BankReceipt""","0","0","1","0","0"
"","PI gener on AIR/SI gener on AII","Sales Invoice 1100> Avansa work button","1","0","0","0","0"
"","Main menu > click open","VAT rates","0","0","1","0","0"
"","Documents generate on","AdvancedInvoiceIssued Return generate BankPayment","0","0","1","0","0"
"","Main menu > click open","Bank documents","0","0","1","0","0"
"","E-Transport filling check","Consignment note creation 70-Tranzacţie intracomunitară - Ieşire după depozitare/formare nou transport","0","0","1","0","0"
"","001 Smoke Tests Catalogs","List form opening ""Users""","0","0","1","0","0"
"","Y_002 Department functional option check","Additional Expenses True","0","0","1","0","0"
"","Company settings","General settings","0","0","1","0","0"
"","Y_002 Department functional option check","Report AccountTurnover True","0","0","1","0","0"
"","Check must be filled:Description/SKU/Code of customs/Unit/Income and expense","Products Goods quantitative","0","0","1","0","0"
"","Documents generate on","list/Document PI generate AdditionalExpenses","0","0","1","0","0"
"","PI gener on AIR/SI gener on AII","Advanced Invoice Issued","1","0","0","0","0"
"","001 Smoke Tests Catalogs","Object form opening ""InteractionsTabs""","0","0","1","0","0"
"","Documents generate on","list PI generate ChangeIntangibleAssetsParameter","0","0","1","0","0"
"","001 Smoke Tests Catalogs","Object form opening ""TypeOfMaterials""","0","0","1","0","0"
"","Documents generate on","Sales retorn  generate BankPayment","1","0","0","0","0"
"","070 Expense report","Documents list preparation","0","0","1","0","0"
"","Docs create SAve OPen Close","Inventory Items Commissioning","0","0","1","0","0"
"","Y_002 Department functional option check","Change Fixed Assets Parameters True","0","0","1","0","0"
"","Counterparty bank account creating","Counterparty bank account creating","0","0","1","0","0"
"","Docs create SAve OPen Close","Payment Request Outgoing","0","0","1","0","0"
"","Y_002 Department functional option check","Inventory Transfer True","0","0","1","0","0"
"","Source document","Source document Payment from customer","0","0","1","0","0"
"","Documents generate on","PI generate Change of fixed asset parameters","1","0","0","0","0"
"","Cash change CashFlowActivity avai. not availab. columns","CP Plati la stat (Impozitul pe venit)","0","0","1","0","0"
"","001 Smoke Tests Catalogs","Object form opening ""ExtensionsVersions""","0","0","1","0","0"
