"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 17 02:08:26 UTC 2024","Wed Jul 17 02:08:27 UTC 2024","1157","","001 Smoke Tests Catalogs","","","","(VATOnRelease) List form opening ""FilesFolders""",""
"passed","Wed Jul 17 03:01:26 UTC 2024","Wed Jul 17 03:01:34 UTC 2024","7457","","Documents generate on","","","","(VATOnRelease) list/Document PO  generate document",""
"passed","Wed Jul 17 03:28:40 UTC 2024","Wed Jul 17 03:28:44 UTC 2024","4489","","Settlements Adjustment >DR/CR","","","","(VATOnRelease) Sales Invoice",""
"passed","Wed Jul 17 02:10:33 UTC 2024","Wed Jul 17 02:10:34 UTC 2024","1001","","001 Smoke Tests Catalogs","","","","(VATOnRelease) Object form opening ""Contracts""",""
"passed","Wed Jul 17 03:58:51 UTC 2024","Wed Jul 17 03:58:53 UTC 2024","1962","","Cash change CashFlowActivity avai. not availab. columns","","","","(VATOnRelease) CP Plati viramente interne",""
"passed","Wed Jul 17 03:57:59 UTC 2024","Wed Jul 17 03:58:01 UTC 2024","2080","","Cash / Bank Documents added Base Document","","","","(VATOnRelease) Bank Payment > select Purchase Invoice",""
"failed","Wed Jul 17 03:15:41 UTC 2024","Wed Jul 17 03:15:48 UTC 2024","6877","","Sales Invoice generate documents","","","","(VATOnRelease) SalesOrder generate Cash receipt",""
"passed","Wed Jul 17 02:43:48 UTC 2024","Wed Jul 17 02:43:49 UTC 2024","1677","","Docs create SAve OPen Close","","","","(VATOnRelease) Sales Order",""
"passed","Wed Jul 17 02:08:36 UTC 2024","Wed Jul 17 02:08:37 UTC 2024","1017","","001 Smoke Tests Catalogs","","","","(VATOnRelease) Object form opening ""ObjectPropertyValueHierarchy""",""
"failed","Wed Jul 17 02:27:02 UTC 2024","Wed Jul 17 02:27:17 UTC 2024","15104","","090 Purchase invoice and Purchase return","","","","(VATOnRelease) Purchase invoice adding lines from Notice of enry",""
"passed","Wed Jul 17 04:01:39 UTC 2024","Wed Jul 17 04:01:52 UTC 2024","13391","","Documents Bank> Button Add","","","","(VATOnRelease) deletion all ""BankReceipt""",""
"failed","Wed Jul 17 04:07:31 UTC 2024","Wed Jul 17 04:07:42 UTC 2024","11826","","PI gener on AIR/SI gener on AII","","","","(VATOnRelease) Sales Invoice 1100> Avansa work button",""
"passed","Wed Jul 17 02:39:49 UTC 2024","Wed Jul 17 02:39:50 UTC 2024","1004","","Main menu > click open","","","","(VATOnRelease) VAT rates",""
"passed","Wed Jul 17 03:12:22 UTC 2024","Wed Jul 17 03:12:24 UTC 2024","2637","","Documents generate on","","","","(VATOnRelease) AdvancedInvoiceIssued Return generate BankPayment",""
"passed","Wed Jul 17 02:39:08 UTC 2024","Wed Jul 17 02:39:09 UTC 2024","1173","","Main menu > click open","","","","(VATOnRelease) Bank documents",""
"passed","Wed Jul 17 03:33:31 UTC 2024","Wed Jul 17 03:33:37 UTC 2024","6199","","E-Transport filling check","","","","(VATOnRelease) Consignment note creation 70-Tranzacţie intracomunitară - Ieşire după depozitare/formare nou transport",""
"passed","Wed Jul 17 02:09:07 UTC 2024","Wed Jul 17 02:09:09 UTC 2024","1222","","001 Smoke Tests Catalogs","","","","(VATOnRelease) List form opening ""Users""",""
"passed","Wed Jul 17 04:14:07 UTC 2024","Wed Jul 17 04:14:09 UTC 2024","1628","","Y_002 Department functional option check","","","","(VATOnRelease) Additional Expenses True",""
"passed","Wed Jul 17 02:13:44 UTC 2024","Wed Jul 17 02:13:46 UTC 2024","2181","","Company settings","","","","(VATOnRelease) General settings",""
"passed","Wed Jul 17 04:14:46 UTC 2024","Wed Jul 17 04:14:47 UTC 2024","1223","","Y_002 Department functional option check","","","","(VATOnRelease) Report AccountTurnover True",""
"passed","Wed Jul 17 02:36:52 UTC 2024","Wed Jul 17 02:37:03 UTC 2024","10701","","Check must be filled:Description/SKU/Code of customs/Unit/Income and expense","","","","(VATOnRelease) Products Goods quantitative",""
"passed","Wed Jul 17 03:03:17 UTC 2024","Wed Jul 17 03:03:21 UTC 2024","3956","","Documents generate on","","","","(VATOnRelease) list/Document PI generate AdditionalExpenses",""
"failed","Wed Jul 17 04:06:52 UTC 2024","Wed Jul 17 04:07:06 UTC 2024","13944","","PI gener on AIR/SI gener on AII","","","","(VATOnRelease) Advanced Invoice Issued",""
"passed","Wed Jul 17 02:08:32 UTC 2024","Wed Jul 17 02:08:33 UTC 2024","1048","","001 Smoke Tests Catalogs","","","","(VATOnRelease) Object form opening ""InteractionsTabs""",""
"passed","Wed Jul 17 03:04:13 UTC 2024","Wed Jul 17 03:04:15 UTC 2024","2196","","Documents generate on","","","","(VATOnRelease) list PI generate ChangeIntangibleAssetsParameter",""
"passed","Wed Jul 17 02:10:46 UTC 2024","Wed Jul 17 02:10:48 UTC 2024","1187","","001 Smoke Tests Catalogs","","","","(VATOnRelease) Object form opening ""TypeOfMaterials""",""
"failed","Wed Jul 17 03:11:20 UTC 2024","Wed Jul 17 03:11:27 UTC 2024","7696","","Documents generate on","","","","(VATOnRelease) Sales retorn  generate BankPayment",""
"passed","Wed Jul 17 02:23:06 UTC 2024","Wed Jul 17 02:23:08 UTC 2024","1837","","070 Expense report","","","","(VATOnRelease) Documents list preparation",""
"passed","Wed Jul 17 02:44:38 UTC 2024","Wed Jul 17 02:44:39 UTC 2024","1630","","Docs create SAve OPen Close","","","","(VATOnRelease) Inventory Items Commissioning",""
"passed","Wed Jul 17 04:14:33 UTC 2024","Wed Jul 17 04:14:35 UTC 2024","1415","","Y_002 Department functional option check","","","","(VATOnRelease) Change Fixed Assets Parameters True",""
"passed","Wed Jul 17 02:32:34 UTC 2024","Wed Jul 17 02:32:49 UTC 2024","15023","","Counterparty bank account creating","","","","(VATOnRelease) Counterparty bank account creating",""
"passed","Wed Jul 17 02:44:48 UTC 2024","Wed Jul 17 02:44:50 UTC 2024","1424","","Docs create SAve OPen Close","","","","(VATOnRelease) Payment Request Outgoing",""
"passed","Wed Jul 17 04:14:12 UTC 2024","Wed Jul 17 04:14:14 UTC 2024","1627","","Y_002 Department functional option check","","","","(VATOnRelease) Inventory Transfer True",""
"passed","Wed Jul 17 03:29:37 UTC 2024","Wed Jul 17 03:29:38 UTC 2024","985","","Source document","","","","(VATOnRelease) Source document Payment from customer",""
"failed","Wed Jul 17 03:03:37 UTC 2024","Wed Jul 17 03:03:53 UTC 2024","16677","","Documents generate on","","","","(VATOnRelease) PI generate Change of fixed asset parameters",""
"passed","Wed Jul 17 03:59:00 UTC 2024","Wed Jul 17 03:59:02 UTC 2024","1806","","Cash change CashFlowActivity avai. not availab. columns","","","","(VATOnRelease) CP Plati la stat (Impozitul pe venit)",""
"passed","Wed Jul 17 02:08:19 UTC 2024","Wed Jul 17 02:08:20 UTC 2024","1001","","001 Smoke Tests Catalogs","","","","(VATOnRelease) Object form opening ""ExtensionsVersions""",""
"passed","Wed Jul 17 03:08:18 UTC 2024","Wed Jul 17 03:08:21 UTC 2024","2654","","Documents generate on","","","","(VATOnRelease) list Advanced Invoice Received  generate CashPayment",""
